transaction_id,customer_id,product_id,quantity,discount_percent,tax_rate,order_timestamp,payment_method,store_id,employee_id,order_status
TXN-100000,12304,20067,5,0.15,0.08,2025-02-14 08:51:01,Credit Card,123,3403,Shipped
TXN-100001,12619,20523,1,0.19,0.08,2025-01-18 08:51:01,PayPal,119,3053,Pending
TXN-100002,11936,20378,4,0.07,0.08,2024-08-02 08:51:01,Bank Transfer,123,3081,Pending
TXN-100003,11808,20277,15,0.23,0.08,2024-12-31 08:51:01,Bank Transfer,120,3341,Shipped
TXN-100004,11384,20213,9,0.17,0.08,2024-04-14 08:51:01,Bank Transfer,126,3065,Pending
TXN-100005,11023,20157,5,0.06,0.08,2024-03-26 08:51:01,PayPal,131,3472,Shipped
TXN-100006,11219,20105,6,0.14,0.08,2025-10-11 08:51:01,Bank Transfer,129,3442,Cancelled
TXN-100007,10804,20560,15,0.07,0.08,2025-06-16 08:51:01,Credit Card,142,3146,Cancelled
TXN-100008,12246,20336,9,0.22,0.08,2025-07-11 08:51:01,Bank Transfer,136,3013,Cancelled
TXN-100009,10414,20402,12,0.16,0.08,2025-05-21 08:51:01,Bank Transfer,130,3302,Shipped
TXN-100010,12522,20559,13,0.2,0.08,2025-01-19 08:51:01,Credit Card,122,3440,Shipped
TXN-100011,12759,20512,2,0.03,0.08,2024-10-09 08:51:01,Bank Transfer,112,3355,Cancelled
TXN-100012,10362,20029,4,0.01,0.08,2025-08-19 08:51:01,PayPal,108,3194,Completed
TXN-100013,11931,20170,13,0.25,0.08,2026-03-16 08:51:01,Credit Card,117,3274,Cancelled
TXN-100014,11974,20567,15,0.21,0.08,2024-08-28 08:51:01,Credit Card,124,3374,Pending
TXN-100015,12350,20212,2,0.04,0.08,2025-11-15 08:51:01,PayPal,125,3401,Shipped
TXN-100016,12425,20304,13,0.23,0.08,2025-02-07 08:51:01,Credit Card,120,3328,Pending
TXN-100017,10590,20592,14,0.19,0.08,2025-02-16 08:51:01,Bank Transfer,118,3176,Cancelled
TXN-100018,10840,20195,10,0.03,0.08,2025-10-29 08:51:01,Bank Transfer,137,3440,Pending
TXN-100019,10046,20220,7,0.25,0.08,2025-06-25 08:51:01,Bank Transfer,142,3040,Completed
TXN-100020,10743,20423,12,0.27,0.08,2025-05-25 08:51:01,Bank Transfer,129,3045,Cancelled
TXN-100021,11849,20026,7,0.2,0.08,2024-09-03 08:51:01,Credit Card,113,3168,Shipped
TXN-100022,12457,20113,1,0.03,0.08,2025-02-15 08:51:01,Credit Card,110,3179,Completed
